iter	Passed	Remaining
534	10735	9330
535	10756	9311
536	10773	9289
537	10792	9267
538	10811	9247
539	10831	9227
540	10850	9205
541	10868	9184
542	10886	9162
543	10904	9140
544	10923	9119
545	10940	9097
546	10962	9078
547	10981	9058
548	11000	9036
549	11018	9015
550	11037	8994
551	11059	8975
552	11077	8954
553	11098	8935
554	11119	8915
555	11141	8897
556	11160	8876
557	11185	8860
558	11207	8841
559	11227	8821
560	11247	8801
561	11265	8780
562	11285	8760
563	11303	8738
564	11321	8716
565	11341	8696
566	11363	8677
567	11382	8656
568	11402	8637
569	11420	8615
570	11442	8596
571	11459	8574
572	11478	8553
573	11497	8532
574	11520	8515
575	11546	8499
576	11567	8480
577	11586	8459
578	11603	8437
579	11626	8418
580	11649	8400
581	11672	8383
582	11695	8365
583	11720	8348
584	11737	8326
585	11757	8306
586	11775	8285
587	11794	8263
588	11810	8241
589	11827	8219
590	11845	8197
591	11862	8175
592	11880	8153
593	11898	8132
594	11915	8110
595	11935	8090
596	11952	8068
597	11974	8049
598	11992	8028
599	12009	8006
600	12029	7986
601	12047	7964
602	12064	7943
603	12082	7921
604	12100	7900
605	12118	7878
606	12136	7857
607	12156	7837
608	12173	7815
609	12195	7796
610	12215	7777
611	12233	7755
612	12252	7735
613	12272	7715
614	12290	7694
615	12309	7673
616	12328	7653
617	12346	7631
618	12363	7609
619	12384	7590
620	12405	7570
621	12424	7550
622	12441	7528
623	12458	7507
624	12477	7486
625	12494	7465
626	12515	7445
627	12535	7425
628	12556	7406
629	12575	7385
630	12597	7366
631	12619	7347
632	12636	7326
633	12653	7304
634	12671	7283
635	12689	7262
636	12707	7241
637	12726	7220
638	12743	7199
639	12761	7178
640	12781	7158
641	12803	7139
642	12827	7121
643	12847	7101
644	12863	7080
645	12880	7058
646	12898	7037
647	12917	7016
648	12935	6996
649	12952	6974
650	12970	6953
651	12988	6932
652	13008	6912
653	13029	6893
654	13046	6871
655	13063	6850
656	13083	6830
657	13101	6809
658	13118	6788
659	13135	6766
660	13153	6745
661	13172	6725
662	13189	6704
663	13208	6683
664	13229	6664
665	13246	6643
666	13264	6622
667	13283	6601
668	13301	6581
669	13318	6559
670	13337	6539
671	13354	6518
672	13372	6497
673	13389	6476
674	13406	6455
675	13426	6435
676	13444	6414
677	13461	6393
678	13479	6372
679	13496	6351
680	13515	6330
681	13534	6310
682	13551	6289
683	13569	6269
684	13587	6248
685	13603	6226
686	13624	6207
687	13642	6186
688	13659	6165
689	13677	6144
690	13694	6124
691	13711	6102
692	13729	6082
693	13748	6061
694	13766	6041
695	13783	6020
696	13800	5999
697	13818	5978
698	13837	5958
699	13856	5938
700	13875	5918
701	13892	5897
702	13909	5876
703	13926	5855
704	13945	5835
705	13962	5814
706	13979	5793
707	13996	5772
708	14015	5752
709	14033	5732
710	14053	5712
711	14072	5692
712	14090	5671
713	14108	5651
714	14127	5631
715	14146	5610
716	14163	5590
717	14181	5569
718	14198	5549
719	14217	5529
720	14235	5508
721	14257	5489
722	14275	5469
723	14293	5449
724	14311	5428
725	14330	5408
726	14347	5387
727	14367	5368
728	14384	5347
729	14402	5326
730	14418	5305
731	14438	5286
732	14456	5265
733	14476	5246
734	14496	5226
735	14514	5206
736	14534	5186
737	14551	5166
738	14570	5146
739	14589	5126
740	14608	5106
741	14625	5085
742	14643	5065
743	14664	5045
744	14682	5025
745	14700	5005
746	14719	4985
747	14736	4964
748	14754	4944
